Month (Te Reo),Gregorian Equivalent,Season,Meaning / Etymology,Description,Key Stars Visible,Whakataukī,Whakataukī Translation,Planting & Gathering,Fishing & Hunting,Cultural Observances,Seasonal Notes
Pipiri,June — July,Early Winter (Hōtoke),"To draw together — all things draw close for warmth","Beginning of the Māori new year marked by the rising of Matariki. A time for reflection, remembrance, and setting intentions.","Matariki (Pleiades) — heliacal rising; Puanga/Puaka (Rigel); Takurua (Sirius); Tautoru (Orion's Belt); Atutahi (Canopus); Mahutonga (Southern Cross)","Ka puta Matariki, ka rere Whānui — ko te tohu tēnā o te tau hou","When Matariki rises and Whānui trails — that is the sign of the new year","Rest the earth; harvest remaining root crops; gather firewood; collect rongoā","Inshore fishing on good lunar nights; hīnaki (eel traps) in rivers; preserve fish; kererū season in some regions","Matariki celebrations and remembrance; honour those who have passed; set aspirations; communal feasting","Shortest days; weaving, carving, storytelling; strengthen whānau bonds; plan for seasons ahead"
Hōngongoi,July — August,Mid Winter (Hōtoke),"The earth is very cold and hard","Winter deepens but Matariki is established in the sky. Indoor arts flourish — weaving, carving, and sharing of oral traditions.","Matariki (established in pre-dawn sky); Takurua (Sirius) — dominant; Tautoru (Orion's Belt); Rehua (Antares) — low; Whānui (Vega); Mahutonga (Southern Cross)","He aha te mea nui o te ao? He tangata, he tangata, he tangata","What is the greatest thing in the world? It is people, it is people, it is people","Earth is dormant; maintain food stores; gather winter greens; prepare seed for spring","Tuna (eel) season continues; fish on Tangaroa and Rākaunui nights; set hīnaki in estuaries; bird snaring","Whare wānanga active; oral traditions passed down; karakia and waiata practice; strengthen community ties","Coldest period; prime time for weaving and fibre arts; carving and tool-making; dream interpretation and spiritual work"
Here-turi-kōkā,August — September,Late Winter (Hōtoke),"Vegetation beginning to spring up from the earth","Winter loosens its hold. The land stirs with early signs of renewal — a threshold month between cold and warmth.","Matariki (setting in west); Rehua (Antares) — rising; Whakaahu (Castor & Pollux); Whānui (Vega) — high; Mahutonga (Southern Cross) — low south","Ahakoa he iti, he pounamu","Although it is small, it is precious (like greenstone)","Early soil preparation; clear garden plots; first tentative plantings; gather early spring greens","Coastal fishing improves; whitebait runs may begin; continue tuna harvesting; check bird snaring grounds","Prepare for spring ceremonies; final winter wānanga; begin outdoor communal activities","Days lengthening; changeable weather; transition from indoor to outdoor work; energy of renewal building"
Mahuru,September — October,Early Spring (Koanga),"The earth has regained its warmth","True spring — life returns vigorously. Birds begin nesting, trees blossom, gardens are prepared in earnest.","Rehua (Antares) — prominent; Whānui (Vega) — high overhead; Mahutonga (Southern Cross); Atutahi (Canopus)","Kia mau ki te aka matua, kei mau ki te aka tāepa","Cling to the main vine, not the loose one","Kūmara planting begins (guided by Whānui); plant taro, hue, uwhi; gather spring greens; tend forest gardens","Inanga (whitebait) runs peak; coastal fishing active; shellfish gathering resumes; freshwater fisheries productive","Spring equinox ceremonies; karakia for garden planting; prepare for summer expeditions","Days and nights equal; active outdoor work begins; energy and warmth increasing; bird song fills mornings"
Whiringa-ā-nuku,October — November,Mid Spring (Koanga),"The turning of the earth toward warmth","Earth has become quite warm. Garden planting in full swing. The land is alive with growth and activity.","Rehua (Antares) — high; Scorpius prominent; Mahutonga (Southern Cross); Atutahi (Canopus); Whānui (Vega) — setting west","Mā te huruhuru ka rere te manu","With feathers, the bird can fly","Main kūmara planting season; tend growing crops; gather ripening berries and fruits; rongoā plants abundant","Open ocean fishing active; shellfish plentiful at low tides; net fishing in harbours; rivers productive","Garden ceremonies and karakia; preparations for summer gatherings; maintain garden tapu protocols","Long warm days; peak activity season; travel between settlements; abundance building"
Whiringa-ā-rangi,November — December,Late Spring (Koanga),"The turning of the sky — sun reaches turning point upward","Earth warms fully. Long days stretch toward summer solstice. Gardens thrive and the ocean teems.","Rehua (Antares) — dominant; Mahutonga (Southern Cross) — low south; Atutahi (Canopus); Takurua (Sirius) — beginning to rise east","E kore e taea te whenu kotahi ki te raranga i te whāriki","The tapestry of understanding cannot be woven by one strand alone","Crops growing strongly; harvest early-maturing plants; berries and fruits abundant; kaimoana gathering at its best","Deep sea fishing expeditions; hāpuku and reef fish; crayfish season; fish preservation","Summer solstice approaching; large gatherings and hui; inter-hapū visits and trade","Longest days approaching; maximum daylight; warm enough for travel; clear nights for star observation"
Hakihea,December — January,Early Summer (Raumati),"Birds are now sitting on their eggs","Peak of summer energy — longest days, warmest nights. The land is generous with food. Full summer (Raumati).","Rehua (Antares) — past zenith going west; Takurua (Sirius) — rising prominently; Tautoru (Orion's Belt) — rising; Atutahi (Canopus); Mahutonga (Southern Cross)","He manako te kōura i kore ai","Wishing for crayfish won't bring them — you must go and get them","Crops in full growth; harvest early kūmara varieties; berries and fruits at peak; gather harakeke for weaving","Peak ocean fishing season; shark fishing expeditions; kōura (crayfish) abundant; kaimoana preservation","Summer solstice — longest day; large inter-tribal gatherings; trade and exchange; celebrations and sports","Peak summer warmth; extended daylight; swimming and water activities; abundance and plenty"
Kohītātea,January — February,Mid Summer (Raumati),"The pale colour of maturing vegetation — fruits ripening","Summer's bounty at its fullest. Harvest intensifies as crops reach maturity and the ocean provides generously.","Takurua (Sirius) — dominant overhead; Tautoru (Orion's Belt) — high; Puanga (Rigel); Atutahi (Canopus); Whakaahu (Castor & Pollux)","Nāu te rourou, nāku te rourou, ka ora ai te iwi","With your food basket and my food basket, the people will thrive","Main harvest season for kūmara; preserve root crops; gather and dry berries; karaka berries processed","Ocean fishing continues strongly; net large catches for preservation; dry and smoke fish; coastal foraging excellent","Harvest thanksgiving; large hui and wānanga; inter-tribal exchanges","Days beginning to shorten; warmest temperatures; focus on food preservation; prepare stores for autumn/winter"
Hui-tanguru,February — March,Late Summer (Raumati),"The assembling together — gathering in of the harvest","Summer crops brought in. Warmth lingers but the shift toward autumn is felt in the evening air.","Takurua (Sirius) — past zenith; Tautoru (Orion's Belt); Atutahi (Canopus) — prominent; Mahutonga (Southern Cross) — rising; Whakaahu (Castor & Pollux) — high","He kai kei aku ringa","There is food at the end of my hands — I am self-sufficient","Final harvest — clear remaining crops; store kūmara in rua; preserve and dry foods; gather materials for winter crafts","Strong fishing continues; intensive fish preservation; shellfish gathering; begin eel trapping preparation","Harvest completion ceremonies; gratitude for the season's bounty; prepare for quieter months","Days shortening; evening temperatures cooling; autumn equinox approaching; transition time"
Poutū-te-rangi,March — April,Early Autumn (Ngahuru),"The pillar of the sky — autumn equinox","Day and night stand in balance. Harvests complete, focus shifts to preservation and preparation. The earth begins its turn toward rest.","Mahutonga (Southern Cross) — high south; Atutahi (Canopus) — prominent; Takurua (Sirius) — setting west; Rehua (Antares) — low east","Whāia te iti kahurangi; ki te tūohu koe, me he maunga teitei","Seek the treasure you value most; if you bow your head, let it be to a lofty mountain","All crops harvested and stored; garden areas rested; gather autumn foods (fungi, roots); collect seeds for next season","Tuna (eel) migration begins — prime trapping; hīnaki set; pātiki (flounder) season; bird snaring preparations","Autumn equinox observance; reflect on achievements; begin preparations for winter rituals","Days and nights in balance; temperatures cooling; transition to indoor activities; completion and gratitude"
